State,USPS,2010,2011,2012,2013,2014,2015,2016,2017,Division,Region
Oklahoma,OK,"3,759,529","3,785,232","3,815,298","3,849,840","3,875,008","3,904,353","3,921,207","3,930,864",West South Central Division,South Region
Oregon,OR,"3,837,073","3,865,845","3,893,920","3,919,664","3,960,673","4,016,537","4,085,989","4,142,776",Pacific Division,West Region
Pennsylvania,PA,"12,711,063","12,742,811","12,768,034","12,778,450","12,790,341","12,791,124","12,787,085","12,805,537",Middle Atlantic Division,Northeast Region
Puerto Rico,PR,"3,721,525","3,678,732","3,634,488","3,593,077","3,534,874","3,473,177","3,406,520","3,337,177",,
Rhode Island,RI,"1,053,169","1,052,154","1,052,761","1,052,784","1,054,782","1,055,916","1,057,566","1,059,639",New England Division,Northeast Region
South Carolina,SC,"4,635,834","4,672,744","4,719,009","4,765,862","4,824,758","4,892,423","4,959,822","5,024,369",South Atlantic Division,South Region
South Dakota,SD,"816,227","823,338","832,576","842,513","849,455","854,036","861,542","869,666",West North Central Division,Midwest Region
Tennessee,TN,"6,355,882","6,396,281","6,450,632","6,490,795","6,540,007","6,590,726","6,649,404","6,715,984",East South Central Division,South Region
Texas,TX,"25,241,648","25,644,424","26,078,327","26,479,279","26,954,436","27,454,880","27,904,862","28,304,596",West South Central Division,South Region
Utah,UT,"2,775,260","2,815,430","2,854,222","2,899,961","2,938,671","2,984,917","3,044,321","3,101,833",Mountain Division,West Region
Vermont,VT,"625,842","626,210","625,606","626,044","625,665","624,455","623,354","623,657",New England Division,Northeast Region
Virginia,VA,"8,025,206","8,107,548","8,188,656","8,261,689","8,316,902","8,366,767","8,414,380","8,470,020",South Atlantic Division,South Region
Washington,WA,"6,741,386","6,819,155","6,890,899","6,963,410","7,046,931","7,152,818","7,280,934","7,405,743",Pacific Division,West Region
West Virginia,WV,"1,854,315","1,854,891","1,855,360","1,852,333","1,847,624","1,839,767","1,828,637","1,815,857",South Atlantic Division,South Region
Wisconsin,WI,"5,690,403","5,705,812","5,721,075","5,736,673","5,751,272","5,759,744","5,772,917","5,795,483",East North Central Division,Midwest Region
Wyoming,WY,"564,376","567,602","576,608","582,341","583,334","586,102","584,910","579,315",Mountain Division,West Region
